cod_IBGE;cidade;UF;latitude;longitude;venda_predita
310010;ABADIA DOS DOURADOS;MG;-18,4831;-47,3916;1904
310020;ABAETÉ;MG;-19,1551;-45,4444;1256
310030;ABRE CAMPO;MG;-20,2996;-42,4743;3795
310040;ACAIACA;MG;-20,359;-43,1439;28756
310050;AÇUCENA;MG;-19,0671;-42,5419;12828
310060;ÁGUA BOA;MG;-17,9914;-42,3806;32202
310070;ÁGUA COMPRIDA;MG;-20,0576;-48,1069;2000
310080;AGUANIL;MG;-20,9439;-45,3915;1698
310090;ÁGUAS FORMOSAS;MG;-17,0802;-40,9384;150104
310100;ÁGUAS VERMELHAS;MG;-15,7431;-41,4571;5149
310110;AIMORÉS;MG;-19,5007;-41,0746;29935
310120;AIURUOCA;MG;-21,9736;-44,6042;1819
310130;ALAGOA;MG;-22,171;-44,6413;1368
310140;ALBERTINA;MG;-22,2018;-46,6139;1726
310150;ALÉM PARAÍBA;MG;-21,8797;-42,7176;4623
310160;ALFENAS;MG;-21,4256;-45,9477;8519
310163;ALFREDO VASCONCELOS;MG;-21,1535;-43,7718;1627
310170;ALMENARA;MG;-16,1785;-40,6942;1852
310180;ALPERCATA;MG;-18,974;-41,97;260728
310190;ALPINÓPOLIS;MG;-20,8631;-46,3878;1631
310200;ALTEROSA;MG;-21,2488;-46,1387;1909
310205;ALTO CAPARAÓ;MG;-20,431;-41,8738;24091
310210;ALTO RIO DOCE;MG;-21,0281;-43,4067;36878
310220;ALVARENGA;MG;-19,4174;-41,7317;35904
310230;ALVINÓPOLIS;MG;-20,1098;-43,0535;3592
310240;ALVORADA DE MINAS;MG;-18,7334;-43,3638;1163
310250;AMPARO DO SERRA;MG;-20,5051;-42,8009;4949
310260;ANDRADAS;MG;-22,0695;-46,5724;15321
310270;CACHOEIRA DE PAJEÚ;MG;-15,9688;-41,4948;1505
310280;ANDRELÂNDIA;MG;-21,7411;-44,3117;1727
310285;ANGELÂNDIA;MG;-17,7279;-42,2641;2799
310290;ANTÔNIO CARLOS;MG;-21,321;-43,7451;3757
310300;ANTÔNIO DIAS;MG;-19,6491;-42,8732;35172
310310;ANTÔNIO PRADO DE MINAS;MG;-21,0192;-42,1109;1780
310320;ARAÇAÍ;MG;-19,1955;-44,2493;1676
310330;ARACITABA;MG;-21,3446;-43,3736;167980
310340;ARAÇUAÍ;MG;-16,8523;-42,0637;2030
310350;ARAGUARI;MG;-18,6456;-48,1934;5486
310360;ARANTINA;MG;-21,9102;-44,2555;1567
310370;ARAPONGA;MG;-20,6686;-42,5178;56807
310375;ARAPORÃ;MG;-18,4357;-49,1847;1689
310380;ARAPUÁ;MG;-19,0268;-46,1484;2038
310390;ARAÚJOS;MG;-19,9405;-45,1671;3208
310400;ARAXÁ;MG;-19,5902;-46,9438;5576
310410;ARCEBURGO;MG;-21,359;-46,9401;3373
310420;ARCOS;MG;-20,2863;-45,5373;5246
310430;AREADO;MG;-21,3572;-46,1421;1585
310440;ARGIRITA;MG;-21,6083;-42,8292;38191
310445;ARICANDUVA;MG;-17,8666;-42,5533;47059
310450;ARINOS;MG;-15,9187;-46,1043;1035
310460;ASTOLFO DUTRA;MG;-21,3184;-42,8572;1931
310470;ATALÉIA;MG;-18,0438;-41,1149;4228
310480;AUGUSTO DE LIMA;MG;-18,0997;-44,2655;13266
310490;BAEPENDI;MG;-21,957;-44,8874;1491
310500;BALDIM;MG;-19,2832;-43,9613;972
310510;BAMBUÍ;MG;-20,0166;-45,9754;2069
310520;BANDEIRA;MG;-15,8783;-40,5622;171315
310530;BANDEIRA DO SUL;MG;-21,7308;-46,3833;107943
310540;BARÃO DE COCAIS;MG;-19,9389;-43,4755;5112
310550;BARÃO DE MONTE ALTO;MG;-21,2444;-42,2372;37031
310560;BARBACENA;MG;-21,2214;-43,7703;5505
310570;BARRA LONGA;MG;-20,2869;-43,0402;39590
310590;BARROSO;MG;-21,1907;-43,972;1620
310600;BELA VISTA DE MINAS;MG;-19,8302;-43,0922;3208
310610;BELMIRO BRAGA;MG;-21,944;-43,4084;1756
310620;BELO HORIZONTE;MG;-19,9102;-43,9266;5498
310630;BELO ORIENTE;MG;-19,2199;-42,4828;5265
310640;BELO VALE;MG;-20,4077;-44,0275;994
310650;BERILO;MG;-16,9567;-42,4606;187722
310660;BERTÓPOLIS;MG;-17,059;-40,58;33918
310665;BERIZAL;MG;-15,61;-41,7432;21953
310670;BETIM;MG;-19,9668;-44,2008;5421
310680;BIAS FORTES;MG;-21,602;-43,7574;101207
310690;BICAS;MG;-21,7232;-43,056;1734
310700;BIQUINHAS;MG;-18,7754;-45,4974;1640
310710;BOA ESPERANÇA;MG;-21,0927;-45,5612;1646
310720;BOCAINA DE MINAS;MG;-22,1697;-44,3972;38855
310730;BOCAIÚVA;MG;-17,1135;-43,8104;9440
310740;BOM DESPACHO;MG;-19,7386;-45,2622;13905
310750;BOM JARDIM DE MINAS;MG;-21,9479;-44,1885;1605
310760;BOM JESUS DA PENHA;MG;-21,0148;-46,5174;1828
310770;BOM JESUS DO AMPARO;MG;-19,7054;-43,4782;1575
310780;BOM JESUS DO GALHO;MG;-19,836;-42,3165;1297
310790;BOM REPOUSO;MG;-22,4675;-46,144;1711
310820;BONFINÓPOLIS DE MINAS;MG;-16,568;-45,9839;1621
310825;BONITO DE MINAS;MG;-15,3231;-44,7543;56101
310830;BORDA DA MATA;MG;-22,2707;-46,1653;1159
310840;BOTELHOS;MG;-21,6412;-46,391;2073
310850;BOTUMIRIM;MG;-16,8657;-43,0086;3961
310855;BRASILÂNDIA DE MINAS;MG;-16,9999;-46,0081;1235
310860;BRASÍLIA DE MINAS;MG;-16,2104;-44,4299;1347
310870;BRÁS PIRES;MG;-20,8419;-43,2406;50455
310880;BRAÚNAS;MG;-19,0562;-42,7099;1478
310900;BRUMADINHO;MG;-20,151;-44,2007;5129
310910;BUENO BRANDÃO;MG;-22,4383;-46,3491;4624
310920;BUENÓPOLIS;MG;-17,8744;-44,1775;4586
310925;BUGRE;MG;-19,4231;-42,2552;109307
310940;BURITIZEIRO;MG;-17,3656;-44,9606;3413
310945;CABECEIRA GRANDE;MG;-16,0335;-47,0862;1346
310950;CABO VERDE;MG;-21,4699;-46,3919;4734
310960;CACHOEIRA DA PRATA;MG;-19,521;-44,4544;184992
310970;CACHOEIRA DE MINAS;MG;-22,3511;-45,7809;4680
310980;CACHOEIRA DOURADA;MG;-18,5161;-49,5039;1069
310990;CAETANÓPOLIS;MG;-19,2971;-44,4189;2343
311000;CAETÉ;MG;-19,8826;-43,6704;3116
311010;CAIANA;MG;-20,6956;-41,9292;1811
311020;CAJURI;MG;-20,7903;-42,7925;1279
311030;CALDAS;MG;-21,9183;-46,3843;1330
311040;CAMACHO;MG;-20,6294;-45,1593;1892
311050;CAMANDUCAIA;MG;-22,7515;-46,1494;3680
311060;CAMBUÍ;MG;-22,6115;-46,0572;5261
311070;CAMBUQUIRA;MG;-21,854;-45,2896;2279
311080;CAMPANÁRIO;MG;-18,2427;-41,7355;19631
